,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
The Prince of Tides,57,409,6579,1185,33,118,2578,1597,11,3237,2023,860,6951,1131,311
The Amazing Adventures of Kavalier & Clay,6454,948,467,4788,3889,6932,3417,7370,3504,2053,2079,6954,2975,6194,7907
"Perfect Chemistry (Perfect Chemistry, #1)",1285,1614,6388,1284,9616,8941,8219,7973,8043,2112,1080,1004,3487,2726,7992
Peter Pan,1327,826,540,346,257,93,2125,792,229,1253,4445,2230,1108,4275,95
"Pretties (Uglies, #2)",280,6952,711,5890,2711,91,327,6861,2293,8643,166,185,383,3901,525
The Wind-Up Bird Chronicle,430,1205,1915,3540,4388,1270,1500,9517,7974,1703,8788,2520,9978,8114,1082
"The Lincoln Lawyer (Mickey Haller, #1; Harry Bosch Universe, #16)",966,123,227,281,3240,7868,86,5080,596,343,2057,963,1388,726,1037
Cloud Atlas,297,1074,572,5177,337,516,65,2914,8960,1136,119,3068,8165,9645,1405
The Things They Carried,87,4,3169,48,1458,3946,5,271,468,32,7333,95,5260,2365,2367
Wall and Piece,7861,1756,776,9502,8259,4186,4054,1777,1495,8605,2308,5212,2572,580,7862
"Pandemonium (Delirium, #2)",1054,655,1413,166,2377,69,327,12,9567,5308,4226,1,1197,2217,6805
"Darkly Dreaming Dexter (Dexter, #1)",1607,7601,209,7477,1802,431,8858,1345,6376,726,5613,6185,4963,2668,7941
"Living Dead in Dallas (Sookie Stackhouse, #2)",4233,4340,1966,9316,9415,2278,8208,9730,9339,5697,1680,3052,7935,3875,53
"The Dragon Reborn (Wheel of Time, #3)",960,988,1374,307,9922,4712,3200,8651,8321,192,3601,2677,2944,696,3298
Gulliver's Travels,1327,293,478,706,1354,298,71,699,390,97,95,1178,1204,413,361
Much Ado About Nothing,248,855,1885,773,839,427,3699,125,5540,353,6692,1454,7353,3948,1666
Beowulf,977,341,1280,5940,79,1167,2076,2142,984,3022,646,8916,2366,529,71
Batman: Year One,1623,568,2678,735,3897,365,9601,6775,8285,9626,8420,8612,9203,8109,9956
Go Set a Watchman,6055,1884,856,8141,5244,2486,7136,9242,5607,3722,7501,7966,3294,8107,4200
When You Are Engulfed in Flames,8045,106,2770,6829,290,2321,1839,574,2252,5961,1976,8867,1156,4418,2451
"Daughter of Smoke & Bone (Daughter of Smoke & Bone, #1)",928,858,4255,9153,2984,2587,1782,2558,4710,9583,7274,6771,5748,7560,7631
"Red Queen (Red Queen, #1)",1472,5793,7642,393,752,5712,6136,4306,1965,1264,5597,2941,2167,9964,1022
The Power of Habit: Why We Do What We Do in Life and Business,1371,1621,3129,7111,9700,7845,7754,7876,892,3603,8313,3882,9944,5610,6441
Midnight in the Garden of Good and Evil,2592,6693,975,5518,8323,181,5225,8893,6298,6147,8831,688,8045,5701,7716
"Hopeless (Hopeless, #1)",1165,938,2542,1753,5278,6044,2141,2726,1813,6705,3040,6127,1285,4102,589
A Little Princess,93,42,639,518,59,346,8740,497,133,1210,1327,2988,1695,1178,826
The Truth About Forever,1297,6388,3487,1399,1841,3888,1243,827,3665,1952,1335,6177,9170,2454,813
"The Horse and His Boy (Chronicles of Narnia, #5)",602,292,219,117,5950,8162,1357,9695,731,4242,4717,1907,5953,1695,2078
"Last Sacrifice (Vampire Academy, #6)",2956,2417,5308,3852,3563,393,4817,504,3473,7288,4324,947,3185,6834,7642
"Little House on the Prairie (Little House, #2)",59,133,639,93,540,1497,868,958,4042,1222,2523,2648,184,1210,1373
The Velveteen Rabbit,85,59,335,444,157,184,158,601,278,102,50,868,391,549,296
Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values,3480,8907,6822,6390,4796,2329,298,8916,3049,3504,2013,6892,7869,7669,972
The War of the Worlds,298,9225,972,699,1204,6229,1354,390,529,637,6822,95,97,706,2158
"Pretty Little Liars (Pretty Little Liars, #1)",7451,6313,1805,996,4991,8030,5694,6696,7191,3067,2740,912,1181,1067,5534
Corduroy,296,679,339,971,1229,85,905,661,545,454,888,157,1287,876,391
The Omnivore's Dilemma: A Natural History of Four Meals,398,3546,5070,574,3646,3208,6996,688,8286,6609,4394,6857,8433,4843,8000
Life After Life,143,668,7486,4628,1539,2037,9150,1212,4711,2218,6443,1455,119,1082,3248
The Rescue,674,3119,3290,647,455,3567,4655,1430,692,3042,1417,1130,9511,4287,509
Needful Things,578,915,705,1987,4524,1075,5763,1292,1795,9559,818,5188,4642,865,3735
"Voyager (Outlander, #3)",5324,2047,841,3143,2278,4901,8183,3215,5323,9140,7247,8090,1291,9409,6757
"Hamlet: Screenplay, Introduction And Film Diary",353,125,714,770,839,248,154,1885,5540,8726,29,4149,855,4301,427
Cujo,578,705,1075,865,915,1987,5188,1292,5763,1795,818,9559,4524,3735,1132
The Virgin Suicides,570,178,60,3381,1421,8168,326,3519,2559,951,564,4271,7905,2257,5645
"Dead to the World (Sookie Stackhouse, #4)",9730,4340,8208,9316,9415,1966,4233,7935,4689,1680,9339,3875,4084,5697,2278
Tess of the D'Urbervilles,2600,103,270,2197,1094,1681,160,1088,498,361,3585,83,171,829,413
Madame Bovary,3379,778,58,116,4602,899,2600,872,63,1681,1783,2601,829,1521,1887
The Phantom Tollbooth,117,444,793,738,2597,93,2648,826,158,1253,59,545,184,540,416
"The Way of Kings (The Stormlight Archive, #1)",307,2160,3534,192,6228,1905,1412,1341,3798,1808,1356,1429,4472,6309,1374
"Club Dead (Sookie Stackhouse, #3)",4340,8208,1966,9316,9730,4233,9415,1680,5697,2278,9339,7935,4084,4689,1930
It's Kind of a Funny Story,74,3919,68,9813,1244,2122,3327,5279,7565,604,4598,1087,6466,6034,147
"The Well of Ascension (Mistborn, #2)",307,192,8154,9331,7893,5414,1356,3319,1479,2631,7888,8103,7788,7934,7506
"After You (Me Before You, #2)",4123,1433,1028,7914,262,7659,4058,285,2575,6793,438,2350,3173,5614,8434
The Language of Flowers,9830,318,333,273,9012,46,396,31,7052,8434,57,7034,112,8902,5932
"Batman: The Dark Knight Returns (The Dark Knight Saga, #1)",1623,532,735,3897,365,2678,8420,1422,2514,8181,5401,9601,2504,191,3635
"The Angel Experiment (Maximum Ride, #1)",3864,8844,8777,5444,3943,3052,9013,7393,3739,340,583,1276,6397,4580,434
High Fidelity,3986,8940,6840,6400,557,1792,6194,9483,7379,8873,8184,9232,8902,8295,3237
The Guardian,3119,455,647,6306,674,3574,9511,2717,1749,1063,4353,269,1417,3011,156
"Oryx and Crake (MaddAddam, #1)",1868,929,4326,337,297,742,2187,2225,4047,54,3551,846,809,2218,5338
"Men Are from Mars, Women Are from Venus",4677,6894,5995,3059,8382,5867,5831,412,4744,3251,6091,5824,1507,4743,1234
Kitchen Confidential: Adventures in the Culinary Underbelly,6021,3646,3546,3751,4394,8286,550,2579,8433,2255,8724,4527,2451,943,7227
Timeline,6113,6551,7170,6690,6002,2673,6973,1826,3758,6952,8194,3119,5564,9782,8177
Candide,529,3508,162,872,8906,2024,3342,55,2002,4602,3079,6442,95,1624,1887
Tuck Everlasting,245,59,241,1373,1222,321,93,1497,386,540,2315,594,77,497,2475
Christine,670,556,705,305,553,675,349,967,243,1208,911,915,1900,237,1123
Are You My Mother?,5303,3274,157,339,251,3047,798,3900,296,549,2467,1348,679,5265,4434
The Story of Art,4780,4688,1756,8604,524,6832,9721,1420,776,3181,3840,3939,8605,2572,462
"Scarlet (The Lunar Chronicles, #2)",6756,327,1175,752,7116,2194,2629,1951,4998,3677,5989,7642,393,5308,3132
"Rich Dad, Poor Dad",3009,8513,1684,2318,9762,680,1188,2310,6398,8549,1408,4157,9044,9275,1097
"Silence (Hush, Hush, #3)",3975,2217,945,6178,2410,6834,1276,3816,7674,2941,9106,5106,2697,224,5148
The Magicians (The Magicians #1),8960,1136,8814,2432,7441,572,6474,3238,2543,5338,3714,4685,5719,2006,226
"Death Note, Vol. 1: Boredom (Death Note, #1)",893,6217,1828,5523,720,8890,4179,803,3110,9798,3629,6461,6027,2434,9457
"A Great and Terrible Beauty (Gemma Doyle, #1)",7655,4233,6891,3052,3065,8154,2642,8132,2711,8575,74,5755,3728,5221,5811
Everything Is Illuminated,3560,45,2700,47,2018,9263,407,1005,4810,6591,3703,2000,5031,669,5101
"The Bourne Supremacy (Jason Bourne, #2)",3709,785,628,966,989,2730,9082,2242,1150,882,5655,4917,2203,3779,6975
"Easy (Contours of the Heart, #1)",1165,962,644,6044,2692,9256,1110,2437,1753,3192,2141,3040,2040,3015,539
David Copperfield,361,160,83,5907,204,1477,3323,778,6190,498,2846,413,2168,451,961
The Absolutely True Diary of a Part-Time Indian,2722,5260,129,2540,9974,1678,3206,3164,5589,7559,77,8065,8279,9909,4612
The Master and Margarita,1041,3377,1364,8704,7859,4106,9561,6392,485,4284,8792,9754,4015,9123,2177
"A Wizard of Earthsea (Earthsea Cycle, #1)",1322,1574,360,4515,729,817,4047,3019,4445,7893,2125,2230,4468,89,432
Because of Winn-Dixie,1193,59,241,999,7350,77,793,1742,245,1222,8153,1369,1279,1497,2523
A Separate Peace,387,4,715,32,621,28,271,456,87,29,3169,15,7283,90,1465
The Rainmaker,521,3240,5080,966,7716,1448,2596,5082,9901,2774,3507,3367,6113,9144,2478
Don Quixote,71,390,529,3755,1073,1204,1178,1354,1434,2370,498,95,97,1161,58
"Assassin's Apprentice (Farseer Trilogy, #1)",2385,5414,9424,1905,8035,192,307,6396,3601,3578,3739,917,4118,4182,8320
"The Restaurant at the End of the Universe (Hitchhiker's Guide, #2)",2325,5439,503,4047,1800,3632,360,5666,4326,8893,637,298,8294,6123,929
"Torment (Fallen, #2)",1830,434,1861,2529,202,1122,2715,1276,3031,1971,8749,583,2038,415,3975
The Tale of Peter Rabbit,444,2877,545,679,59,2648,549,1253,296,157,158,868,335,1823,1984
"The Silver Chair (Chronicles of Narnia, #4)",347,542,641,37,332,5229,3795,2957,362,6575,2781,8859,117,1937,493
"The Hero of Ages (Mistborn, #3)",2160,1356,9164,1731,2448,307,2871,3798,2631,2606,3474,7095,1905,2493,1412
"Girl, Interrupted",2255,1234,7227,4598,878,3811,2229,2247,4527,3561,6670,8992,9808,8053,7131
"Are You There, Vodka? It's Me, Chelsea",2206,290,534,9253,8515,1839,1942,1044,8928,2649,1102,372,2855,9522,7356
Jonathan Livingston Seagull,397,2824,9476,6640,2154,8774,8907,743,4702,4400,3188,5505,6780,1847,1659
"City of Heavenly Fire (The Mortal Instruments, #6)",3704,9136,7097,6597,393,4226,752,2850,5597,6834,2167,2884,1264,1505,9050
Love You Forever,296,863,626,661,454,905,6003,1211,549,971,3232,339,3509,998,1287
Cell,915,5763,818,2352,705,5188,9559,3937,1795,4524,1248,2513,7047,6073,865
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,144,9064,1326,2788,6905,3491,3885,3606,8679,8051,1487,8847,7902,2175,7297
The Silmarillion (Middle-Earth Universe),4976,155,161,189,19,7,2309,964,6653,298,4317,400,95,424,651
"The Drawing of the Three (The Dark Tower, #2)",725,806,936,1053,2713,1698,915,1248,168,2412,7127,7015,1292,7446,2828
The Forgotten Garden,262,8273,7044,9185,235,9883,3354,6227,4471,9177,417,31,3940,7077,1723
The Trial,162,3482,3020,4106,4939,3508,1015,872,1364,2024,4622,213,2297,177,887
This Lullaby,5391,2319,2054,2164,2270,2428,3665,1718,120,1297,7267,147,1244,564,5406
Plain Truth,8421,3786,8475,3987,2973,381,1568,3277,4386,7959,8536,9356,6992,6836,2450
Orange Is the New Black,9250,8938,6905,8671,7131,8515,8176,7515,3432,9651,7356,4734,6287,6764,7425
The Hound of the Baskervilles,446,514,3594,8979,6187,1631,5508,769,3292,5870,1320,1240,2397,2553,9240
"Thinking, Fast and Slow",1371,4417,8601,5529,6037,2946,3227,6882,2166,6548,3062,3600,7594,7862,5702
"The Mists of Avalon (Avalon, #1)",6502,7961,7513,3818,6681,8393,1622,3941,8750,198,734,9711,1419,2114,6055
"Are You There God? It's Me, Margaret",59,540,245,738,7283,184,793,1222,77,158,321,241,3100,416,4042
Nights in Rodanthe,1417,647,3119,3567,1430,694,9511,3574,3042,3912,455,674,6028,1667,4655
"Mr. Mercedes (Bill Hodges Trilogy, #1)",2915,1786,8258,4144,4176,8649,4247,253,4840,9594,2401,2617,9115,1065,1345
"All Together Dead (Sookie Stackhouse, #7)",4340,8208,9415,1966,9316,1680,3875,7935,9730,3052,4233,9339,4689,2278,1540
Midwives,3217,381,2702,3787,5737,1386,1202,5211,8405,46,326,5617,8094,3311,8356
The Polar Express,1274,364,549,7928,296,905,85,1211,358,3353,3539,6003,1632,545,8700
The True Story of the 3 Little Pigs,549,905,661,9800,679,3398,4375,6003,7899,7340,6092,2078,296,3078,454
"Patriot Games (Jack Ryan Universe, #2)",1963,222,588,9640,9879,4533,1448,8727,123,1534,2789,2203,3750,4276,3058
Veronika Decides to Die,1663,1835,9473,1206,111,5812,2521,4028,784,4005,3447,2902,1189,6904,132
"Lean In: Women, Work, and the Will to Lead",7709,9680,6491,6583,7876,4767,7929,3235,9944,4594,6905,3733,8485,5955,2752
"Dead as a Doornail (Sookie Stackhouse, #5)",4340,1966,8208,9316,1680,9730,4233,9415,7935,3875,4689,6075,2278,9339,3052
"Shatter Me (Shatter Me, #1)",9567,1413,2377,7315,2410,393,6805,5488,1523,6834,1004,6773,2816,4226,3749
Starship Troopers,910,729,7263,7589,432,1687,897,9019,5310,276,914,1484,1074,70,192
I've Got Your Number,1594,8496,2793,1899,1413,8230,1532,6214,1012,6676,9171,8421,1149,3655,4005
Sophie's World,8717,6070,4975,4720,6730,6030,6034,9860,3975,9415,6630,6775,7792,8546,5126
"The Twilight Saga Breaking Dawn Part 1: The Official Illustrated Movie Companion (The Twilight Saga: The Official Illustrated Movie Companion, #4)",992,1619,52,49,954,3075,2021,3,834,56,732,4088,5245,9486,2331
The Martian Chronicles,298,503,1074,809,1868,877,2755,1204,5317,360,547,432,54,1800,8079
A Visit from the Goon Squad,930,4239,1462,6454,2079,3504,654,2449,2869,6413,115,2257,948,2124,1009
Heidi,93,540,497,59,133,1695,544,346,42,1222,2648,1253,740,826,1210
Prey,6113,9082,2673,2431,5564,1826,5004,6185,7625,4209,9782,5975,1057,3537,1245
"The Last Battle (Chronicles of Narnia, #7)",602,292,219,1357,117,1196,2078,8162,4242,5950,9675,792,3739,3100,1327
"World Without End (The Kingsbridge Series, #2)",7775,6076,3772,3354,4062,1501,231,7102,1757,273,5742,2942,1581,186,9254
"Chosen (House of Night, #3)",2593,5473,3165,1724,6511,1971,3783,981,1387,2038,1540,5857,3289,3176,2134
"Slammed (Slammed, #1)",589,1165,2141,1813,6044,796,1753,7815,9256,6026,5278,3576,4028,4929,4373
"Beastly (Beastly, #1; Kendra Chronicles, #1)",8910,4311,4069,9270,3245,3132,7116,2289,7934,5697,6756,5372,5989,4687,9075
The Canterbury Tales,977,4435,1167,3022,353,5940,770,154,531,2142,529,4149,341,125,1666
Baby Proof,465,5305,1430,1107,4732,1063,1748,3567,3011,310,420,78,509,1713,2938
"Inheritance (The Inheritance Cycle, #4)",923,2871,1634,6847,3052,428,4911,3968,340,2017,9926,1716,3453,4125,2476
1Q84,520,1205,380,430,2520,3540,4713,6232,8320,3238,1915,4508,850,1082,1346
Uncle Tom's Cabin,42,66,116,131,58,83,225,109,4,93,32,204,1094,778,160
The Phantom of the Opera,2370,97,1354,3037,2365,390,1953,4777,514,1207,4592,6909,2490,3594,4175
"Definitely Dead (Sookie Stackhouse, #6)",9316,4340,9339,1680,1966,2278,8208,9730,7935,9415,5697,3875,4233,4655,2847
Blindness,5983,7756,809,1090,4047,6889,297,8233,4866,6944,119,2024,13,4711,3048
Freedom,638,1030,3296,9506,5310,822,930,7777,5737,8960,4020,2013,2869,924,6114
"Crossed (Matched, #2)",1118,525,280,2377,1413,2799,2294,9634,259,376,9567,12,4572,327,5308
"I'd Tell You I Love You, But Then I'd Have to Kill You (Gallagher Girls, #1)",3132,4114,2778,3943,5160,1399,443,9438,7626,1243,4799,2164,9855,6503,4314
The White Tiger,2284,5448,8015,8175,378,5054,6030,820,3021,8469,1005,5037,6867,4692,6315
The Corrections,3581,4220,350,520,467,476,7563,3156,3703,2079,7794,3321,2559,6475,1365
Dreams from My Father: A Story of Race and Inheritance,317,2288,6884,765,6885,6785,1595,2777,2643,6588,878,9439,3896,1068,15
Congo,6113,9082,281,596,343,833,2607,227,1922,5949,2431,5082,1057,3380,3393
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",905,296,998,549,1287,157,85,6498,627,863,679,102,5003,2260,1836
Interpreter of Maladies,948,3187,3911,7771,7907,930,2199,5448,5346,7008,3021,7970,941,2869,5932
A People's History of the United States,2950,3586,2481,5180,2917,3421,2298,2175,4140,5101,1629,4418,2253,6435,870
Breakfast at Tiffany's,4250,483,2339,1161,3255,95,9642,3127,48,7251,1178,225,6055,1204,2187
"The Passage (The Passage, #1)",5729,1905,598,5254,633,1263,1427,5874,9515,1018,5412,3440,1960,307,39
Anansi Boys,283,3521,312,8841,5923,3055,8109,3082,7493,2353,766,3395,9424,8893,7422
Along for the Ride,1297,3665,3888,1080,5939,4314,2454,1244,8170,5534,9170,3283,4655,6263,4547
Everything I Never Told You,2840,5161,6355,5416,2037,1242,2558,8065,4854,673,9569,4178,6460,6799,5852
The House of the Spirits,272,2367,8295,8782,3903,2419,5198,5774,3511,7755,4108,925,1131,8337,2729
The Dead Zone,578,4642,865,705,1248,1795,915,9559,5188,1292,1075,4524,1987,5763,1288
"The Mysterious Affair at Styles (Hercule Poirot, #1)",6078,672,1410,5665,5861,1741,6684,1058,4240,2235,7208,4728,3752,1732,9469
"Murder on the Orient Express (Hercule Poirot, #10)",671,9469,9476,618,5167,514,769,6017,726,8057,1240,2988,6802,3292,9902
Americanah,2840,7329,9264,6460,8065,1195,3955,3885,1310,9569,1242,3134,8019,378,3837
Suzanne's Diary for Nicholas,4813,692,152,552,571,5741,169,420,107,3011,5517,3161,1749,302,3042
Firestarter,1292,5188,705,915,865,1795,578,1987,1075,5763,818,1248,9559,4524,4642
"Entwined with You (Crossfire, #3)",2483,3549,5063,7051,3863,5266,9825,6415,4373,8684,7322,5896,4604,8952,2692
"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",6712,8947,8977,4545,1613,2650,2804,6583,4740,6609,9111,3491,754,2060,8105
The Storied Life of A.J. Fikry,9883,5409,5687,3173,940,262,1990,4674,9437,9872,9787,993,9569,6090,6227
Madeline,549,545,1287,601,444,296,85,339,1648,157,1707,1984,661,627,2446
Think and Grow Rich: The Landmark Bestseller - Now Revised and Updated for the 21st Century,5610,2566,4262,1189,1684,582,3026,247,1507,3495,2548,5796,3423,3413,1446
"Little House in the Big Woods (Little House, #1)",133,59,93,958,1497,868,540,639,2750,4042,2648,184,158,2990,2523
Jonathan Strange & Mr Norrell,283,2471,8931,489,2284,167,729,8320,3578,192,442,1688,917,3396,877
A Bend in the Road,3119,4390,5740,3567,647,3042,2962,3204,5079,1599,1130,6306,1841,4655,6051
"The House of Hades (The Heroes of Olympus, #4)",4449,5405,8270,4911,1353,774,7218,2194,1308,4599,581,5118,6244,3241,1002
"Gone (Gone, #1)",5488,5338,933,1000,1766,1505,1997,609,8197,7393,2884,9331,2979,6887,6550
"The Wedding (The Notebook, #2)",3119,5740,647,4818,8340,5097,7566,9513,1842,3971,6051,5868,1417,5579,6306
1776,3071,1333,8174,3572,2175,5081,5336,870,4811,3631,2651,2917,9357,9337,3488
Under the Banner of Heaven: A Story of Violent Faith,2727,398,8323,550,3776,538,3208,9554,3986,181,2247,4949,828,767,7738
Beautiful Ruins,3343,8658,850,702,1912,4724,9054,2088,5127,3919,2280,7369,9089,3730,9861
The Audacity of Hope: Thoughts on Reclaiming the American Dream,2425,9554,7186,7292,317,765,4418,6884,5215,7515,9946,2643,1991,1404,3994
On Writing: A Memoir of the Craft,5496,1859,6257,1877,2867,6559,7239,1272,1154,6884,2386,8747,9291,9418,4323
"Firefly Lane (Firefly Lane, #1)",3011,674,6328,2856,3204,2378,4227,4360,1748,2610,7052,5866,1103,1107,8501
Sphere,6113,1868,2668,9082,5082,768,1448,9217,8575,1003,7446,917,637,4931,596
Love the One You're With,509,465,5305,1879,7388,1417,3912,1748,1107,1430,152,310,2378,9511,4360
"The Silkworm (Cormoran Strike, #2)",9931,7527,2617,6479,6621,5442,9804,262,2690,4437,8673,2207,9574,4854,4111
"The Vampire Lestat (The Vampire Chronicles, #2)",1382,5293,9044,417,9363,4712,8132,8194,5805,7625,2431,3593,307,4233,8196
State of Wonder,291,359,5849,906,5127,5161,1845,8246,836,6355,4854,6740,1212,3837,795
The Silver Linings Playbook,2933,333,3300,3302,3228,5279,8516,7979,6116,8137,7621,8405,8434,5742,9095
Twenty Thousand Leagues Under the Sea,972,298,706,1204,413,1327,547,293,529,1695,116,3351,1178,390,1953
"The Constant Princess (The Plantagenet and Tudor Novels, #6)",9113,4129,4368,4113,9888,7497,8283,4108,8261,9331,3322,7380,33,7325,7439
Mrs. Dalloway,1084,3210,6326,959,1135,829,899,3907,3400,264,3808,3321,8440,820,483
The Hundred-Year-Old Man Who Climbed Out of the Window and Disappeared,3587,4714,9637,2058,8778,2061,8387,459,3092,3892,7524,9492,5127,7179,7527
Bag of Bones,1075,915,9559,1248,1795,865,3937,705,4524,818,2513,578,1987,2352,3735
The Cider House Rules,7032,3692,8906,523,7401,8015,3459,9483,115,8357,326,8519,9240,3776,7783
Thinner,556,675,578,243,305,237,915,670,553,349,967,1075,1423,1900,609
Around the World in Eighty Days,413,699,972,1953,293,1695,298,529,1327,1907,1178,116,204,361,3351
Walk Two Moons,853,77,241,245,8111,738,857,5020,793,6813,1369,2985,1061,9509,591
Eleven Minutes,5812,1663,5318,2521,1206,2902,1847,1835,3405,1110,9473,3554,3030,744,4028
Nine Stories,3808,2869,6125,3472,5346,7874,6892,3126,7008,8440,3124,5881,5627,4640,9606
"Julie and Julia: 365 Days, 524 Recipes, 1 Tiny Apartment Kitchen: How One Girl Risked Her Marriage, Her Job, and Her Sanity to Master the Art of Living",3646,9391,3546,4394,1060,6644,7518,7339,7557,5658,5011,6177,3315,8195,3299
"Unwind (Unwind, #1)",2852,6861,1678,5890,8197,327,6747,7304,3084,6199,6722,3551,6270,6679,4705
"Drums of Autumn (Outlander, #4)",6757,2278,9663,841,4901,5324,3452,2047,5561,3215,9883,3583,8090,5004,2706
"Prodigy (Legend, #2)",2884,2008,6805,4226,5488,2377,1505,5308,4705,6616,2799,91,1951,5511,7672
King Lear,125,839,3948,5540,770,248,29,3700,7353,2544,7074,555,530,1666,824
Death of a Salesman,456,1186,125,387,1580,29,154,2380,2240,353,3916,4974,824,1521,28
The Choice,3119,1417,647,3574,455,6306,1430,5305,6028,1130,1842,9511,2378,3042,4655
The Hunger Games: Official Illustrated Movie Companion,507,1,17,1355,20,1192,3039,4988,267,8273,2796,12,5184,8577,112
The Sound and the Fury,614,5437,715,4622,6553,6326,7309,4939,1999,3508,4973,3916,2079,5116,6999
A New Earth: Awakening to Your Life's Purpose,790,2912,3399,247,3674,7291,6719,3707,4850,4157,546,6240,1168,1136,2065
"Bleach, Volume 01",835,1828,3977,6576,6217,6622,8567,585,6378,1321,6444,7807,2434,3651,6027
"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",2743,290,1810,3885,4706,106,9367,1029,7550,2244,2335,7189,1464,1904,4184
"The Shadow Rising (Wheel of Time, #4)",960,988,1374,307,4712,9922,3200,2677,192,1995,3298,8651,2944,8321,6083
Shantaram,4110,6030,7959,6885,8659,5723,9431,8021,6766,9368,1016,8545,9382,8744,8692
"From Dead to Worse (Sookie Stackhouse, #8)",4340,8208,9415,3875,3052,1966,9316,4233,1680,4689,9730,6075,3975,5697,7935
"The Waste Lands (The Dark Tower, #3)",612,806,953,232,1053,936,2713,1698,2412,1248,915,7127,168,7015,1261
"The Bone Collector (Lincoln Rhyme, #1)",5080,9832,209,5167,8858,2014,1138,2373,1176,1872,521,4131,1150,200,3619
The Reader,1159,300,6055,6160,762,9864,1256,5587,397,7147,3772,265,4205,2578,8221
"Brown Bear, Brown Bear, What Do You See?",844,549,679,454,296,3303,798,2689,971,3274,6395,339,2260,1229,579
"Hyperion (Hyperion Cantos, #1)",360,633,1800,8893,5192,2693,432,7589,276,1520,1574,8495,1591,4726,4515
The Pearl,116,58,375,28,130,650,1411,935,4592,204,71,160,478,29,4
The Exorcist,4613,1247,9104,2668,1974,237,1868,1829,6280,176,1132,1292,929,349,4859
"The Short Second Life of Bree Tanner: An Eclipse Novella (Twilight, #3.5)",992,3075,220,636,5245,1609,4393,6052,2283,7854,2951,4573,3389,9106,4991
Snow Falling on Cedars,148,33,57,272,273,118,4062,5648,7401,3772,11,2578,515,1131,3776
Roots: The Saga of an American Family,66,33,265,3772,1597,1158,1961,4,540,42,6467,409,1581,1909,93
Batman: The Killing Joke,1623,568,532,9601,3897,9956,8109,2143,9238,4951,7270,8650,8612,9203,4521
Invisible Man,468,1393,95,5,763,1411,456,125,3523,2643,65,3755,715,58,483
A Long Way Gone: Memoirs of a Boy Soldier,1595,4527,3561,7827,8176,1515,5394,2247,5794,87,6884,7131,4968,8847,3905
"Mrs. Frisby and the Rats of NIMH (Rats of NIMH, #1)",793,59,1222,1497,561,8111,158,1020,826,540,184,4236,3120,2315,9849
Different Seasons,865,4642,1987,1292,168,5188,1795,9559,3735,1288,9114,915,9123,6662,512
"The Little House Collection (Little House, #1-9)",59,93,1497,868,1305,545,540,958,133,241,639,184,1707,999,793
The Girls' Guide to Hunting and Fishing,1111,75,156,3997,78,1711,326,4044,4842,2900,777,389,3011,565,1311
"Wool Omnibus (Silo, #1)",886,1341,6270,1405,711,2570,6861,6199,3337,8643,858,9725,4246,4705,8108
"Lamb: The Gospel According to Biff, Christ's Childhood Pal",4031,6640,7050,6780,8750,5666,8291,9376,6892,1156,951,6602,5615,9407,6083
The Power of Now: A Guide to Spiritual Enlightenment,790,7291,4850,4796,3674,2912,546,3707,3480,3821,6617,8865,708,2439,9350
Let's Pretend This Never Happened: A Mostly True Memoir,290,3618,106,3885,721,8828,1527,4824,8703,7273,852,3324,3822,7207,5154
"The Lies of Locke Lamora (Gentleman Bastard, #1)",192,307,8460,8154,389,5672,917,2424,6891,565,283,877,6189,2954,910
"Sabriel (Abhorsen,  #1)",1282,5632,3834,2086,3974,8484,2518,7524,918,4070,3547,2191,9153,817,5536
"Dead and Gone (Sookie Stackhouse, #9)",8208,4340,9415,3875,1966,9316,7935,6075,5744,1680,4689,9730,3975,9339,9166
The Storyteller,4491,9177,4122,8586,318,2772,9294,1012,2793,8685,2796,8300,6883,3173,3228
"Obsidian (Lux, #1)",2599,4002,1165,2997,1008,1716,3749,2816,1416,2141,1813,7554,2217,7222,2410
"Life, the Universe and Everything (Hitchhiker's Guide, #3)",2325,5439,503,3632,1800,4047,360,4326,5666,8893,6123,2225,1555,1337,929
"Crown of Midnight (Throne of Glass, #2)",9591,5156,536,2194,7642,7957,5793,1472,6423,2008,774,1965,4599,460,5511
"Scott Pilgrim, Volume 1: Scott Pilgrim's Precious Little Life",4061,6445,365,1950,2451,2504,3471,766,1422,8880,8109,4012,828,8612,490
Half Broke Horses,1833,2003,2804,2702,1595,4759,8515,9102,5364,3561,208,8176,7750,4725,3491
"Mort (Death, #1; Discworld, #4)",6144,5099,3317,283,3325,6083,192,8753,8294,70,5714,5073,307,9768,5075
"The Iron King (The Iron Fey, #1)",9056,8231,4223,2201,4204,5815,7393,5989,4580,4587,4562,4076,5755,1965,393
Lonesome Dove,4464,1319,6007,815,9902,4774,6521,6295,840,3772,948,734,7907,8664,3929
