,1,2,3,4,5,6,7,8,9,10
Faeries,3203,4729,8937,9821,7300,3341,7816,7072,9141,7934
Confessions of an Ugly Stepsister,4317,4069,8910,4233,8287,6756,8557,7116,3593,3132
How to Be Good,1421,6840,3792,7749,9324,6475,9483,8457,795,9150
"Lady Midnight (The Dark Artifices, #1)",6423,2167,1308,752,7773,460,8265,4929,1264,393
"Inkdeath (Inkworld, #3)",1391,7171,1890,5996,314,6220,7555,8197,3988,8496
Foundation's Edge (Foundation #4),3072,2646,2624,789,890,5782,276,1223,1914,9463
Jude the Obscure,559,2600,1088,872,560,829,2875,1887,270,7997
"Queen of Sorcery (The Belgariad, #2)",1931,3530,3938,2811,3096,3492,1693,1463,1418,4799
The Lottery and Other Stories,2157,2869,8818,6892,3472,5346,1980,4055,95,7008
"Into the Gauntlet (The 39 Clues, #10)",2531,2477,2756,2891,2427,2909,5633,3624,4207,6562
"Wings (Wings, #1)",5224,4204,7776,2488,1541,2267,7288,8391,9056,3617
"Gossip Girl (Gossip Girl, #1)",8795,7546,6402,6391,1669,9341,4577,1735,1540,3487
The Odessa File,2223,989,2670,4863,966,6238,3857,9832,5528,5481
The Burgess Boys,7441,2137,1538,1462,9930,8960,3456,3064,9072,3080
Sapiens: A Brief History of Humankind,4115,6603,8121,852,9944,8303,3867,1577,8000,3545
Lies That Chelsea Handler Told Me,605,1007,4576,4489,1579,290,8346,106,2855,1942
"Broken Harbour (Dublin Murder Squad, #4)",1911,4111,2888,6940,1325,4854,9641,2617,9257,1065
"Down to You (The Bad Boys, #1)",5063,6286,7255,5904,7760,5530,3633,3863,6424,1893
The Complete Works,353,1666,5840,7648,2103,3872,2854,4250,6648,154
The Dispossessed,1574,3489,3403,8662,5341,7336,2755,2632,1074,1620
"Faceless Killers (Kurt Wallander, #1)",6516,8387,8280,7109,5624,7752,8556,6802,6872,7179
The Confession,2057,1543,1092,227,343,1388,281,1733,596,2607
Lightning,2862,4085,5304,3806,3803,5026,367,799,6073,4713
"Cat and Mouse (Alex Cross, #4)",2012,2398,242,2277,266,2184,2547,2737,2981,3223
"Superfudge (Fudge, #3)",6716,999,4042,3304,3871,4815,4658,1373,2597,158
The Couple Next Door,1433,8685,2396,3466,811,61,2617,1551,4176,2530
"Hallowed (Unearthly, #2)",3975,1276,9106,6834,583,6964,4929,3749,2410,434
Ancillary Justice (Imperial Radch #1),2102,7573,9504,1405,572,4621,9837,119,6353,3541
"The Pillars of Creation (Sword of Truth, #7)",2399,1989,2458,2645,1759,1536,2461,1638,4530,1071
Built to Last: Successful Habits of Visionary Companies,932,4823,9249,2327,5796,5483,5779,1157,3361,2442
The Life We Bury,1173,3449,3709,2830,5927,2617,2920,5196,2622,3490
Fireproof,1747,5691,9986,2765,4287,9096,6414,7654,4919,9936
"The Eagle Has Landed (Liam Devlin, #1)",2670,8863,2203,6668,3772,8950,6238,4863,989,4062
"The Lunatic Cafe (Anita Blake, Vampire Hunter #4)",2341,1553,2303,2549,2550,1086,2605,2911,2090,3510
"John Dies at the End (John Dies at the End, #1)",4613,4078,3817,572,599,633,5874,5605,929,7082
The Demon-Haunted World: Science as a Candle in the Dark,8623,3645,4661,7398,6857,6781,7594,6011,6485,6997
Stolen: A Letter to My Captor,6031,9917,435,7334,8100,8138,7595,1767,1004,7181
Solaris,1980,5326,547,4326,298,257,1204,1641,503,9623
Prozac Nation,604,7453,878,2255,1083,2910,1102,7131,2122,8515
The Black Cauldron (The Chronicles of Prydain #2),4445,4275,2125,3120,5632,1629,518,9424,8893,9308
This Is Your Brain on Music: The Science of a Human Obsession,7910,2421,7923,6220,8940,5537,881,6857,7594,4370
The First Phone Call from Heaven,5824,8328,6795,6473,8421,8230,8691,6122,6843,784
Possible Side Effects,1856,1102,9887,6644,3568,6884,4391,2579,8828,6939
Still Life with Bread Crumbs,8304,5987,9787,3039,6214,9951,8405,567,7979,3747
"The A.B.C. Murders (Hercule Poirot, #13)",5861,5665,5858,5505,9469,672,7006,1410,1741,6078
Holy Bible: New International Version,5919,4778,493,464,513,362,2681,1618,6457,6902
"Lover Reborn (Black Dagger Brotherhood, #10)",1513,1483,1932,1473,1336,1291,2955,4849,841,889
"The Duke and I (Bridgertons, #1)",3909,5375,5899,7442,4611,6162,9584,7624,7301,4910
"Dragons of Spring Dawning (Dragonlance: Chronicles, #3)",4215,2947,4891,4941,8317,6598,1396,6407,6554,7347
A Raisin in the Sun,387,456,468,138,715,125,353,427,154,1186
"Altered Carbon (Takeshi Kovacs, #1)",7003,1519,6252,442,8294,360,1980,6150,2325,3247
"The Sum of All Fears (Jack Ryan Universe, #7)",2730,2859,628,785,5655,2666,5144,288,1972,2673
The Good Neighbor,2717,4829,2332,4787,8954,9771,8118,7067,2273,2822
"Saga, Vol. 2 (Saga, #2)",2767,1029,4522,6527,3191,6419,8020,6077,5484,2743
"The Enemy (Jack Reacher, #8)",1358,2522,2429,2393,2135,3144,1424,1600,477,1617
Flash Boys: A Wall Street Revolt,2707,3385,985,3882,4824,6037,8933,8903,5634,3733
The Diving Bell and the Butterfly,4527,7103,737,6559,5658,8053,604,8843,994,6588
Killing Kennedy: The End of Camelot,1241,1408,8576,2784,8698,2636,6921,9118,6893,7297
Rogue Lawyer,1092,3976,1543,1596,2057,5018,2212,3507,5196,1433
The Life and Times of the Thunderbolt Kid,1449,2279,3893,1460,9295,1976,2321,316,5108,4079
Still Missing,3102,6965,4335,124,6796,9674,6192,6907,7158,3058
"'Tis (Frank McCourt, #2)",3966,8843,4707,9143,2288,2649,1978,179,7239,6559
1491: New Revelations of the Americas Before Columbus,6435,408,3071,3570,3631,9337,3675,7541,7738,2298
"Fairest (The Lunar Chronicles, #3.5)",1353,774,252,5118,2626,842,2734,9130,6423,7535
An Unquiet Mind: A Memoir of Moods and Madness,9808,7227,604,4598,6670,3811,878,8411,1234,9887
Jesus Calling: Enjoying Peace in His Presence,9134,8451,2963,6886,7852,7977,7947,5571,6782,3448
Who's Afraid of Virginia Woolf?,8760,7333,9707,4974,6018,4584,6438,6119,2380,3916
"The Last Wish (The Witcher, #1)",6058,4486,3996,7069,3230,5596,8460,5666,4613,4271
Foucault's Pendulum,8079,405,424,1717,5700,6935,5747,5840,4672,4441
A Pocket for Corduroy,549,905,876,9803,2446,2181,661,296,679,1287
"The 5th Horseman (Women's Murder Club, #5)",1763,2568,1379,2773,1858,336,3517,3622,3801,4048
"Kushiel's Dart (Phèdre's Trilogy, #1)",4044,4440,7127,731,2510,7986,9424,1018,526,1964
"Bonhoeffer: Pastor, Martyr, Prophet, Spy",3448,5643,3694,1595,7902,9997,7404,4292,4749,7103
"Explosive Eighteen (Stephanie Plum, #18)",2502,2094,2800,3053,1821,1694,3391,2138,1959,1627
"Lies (Gone, #3)",1820,2845,3777,4751,685,5488,5338,2799,1505,6279
The Pursuit of God,6886,3392,7852,3951,4721,7117,3331,3689,2765,9134
"The Iron Knight (The Iron Fey, #4)",1541,1437,7288,756,4076,4562,9056,9062,8231,4204
"Maisie Dobbs (Maisie Dobbs, #1)",6627,6569,9585,9421,4413,9510,9795,9020,7318,3805
"Magician (The Riftwar Saga, #1-2)",2285,2453,5599,9434,1812,1593,9074,9963,6135,6601
"Forever in Blue: The Fourth Summer of the Sisterhood (Sisterhood, #4)",2054,1718,120,4977,2812,2164,615,6122,5016,8203
"Feet of Clay (Discworld, #19; City Watch, #3)",2470,2944,2881,5099,3000,3200,2677,2086,2658,1337
"The Millennium Trilogy (Millennium Trilogy, #1-3)",140,98,7752,16,5819,5302,8387,6872,4437,9492
The Butterfly Garden (The Collector #1),2396,4011,3873,2617,7221,5650,4176,811,4837,5196
Skinny Legs and All,4316,2025,1503,4872,3428,6961,5187,6070,6614,5947
"Destined for an Early Grave (Night Huntress, #4)",3496,2287,1818,4857,4816,3514,1257,8909,3527,5710
"In Flight (Up in the Air, #1)",2330,2748,3549,5546,6711,3017,3863,2779,1893,2483
"Cross (Alex Cross, #12)",2184,3223,2981,3066,2398,2214,2012,2746,2547,2737
"All-American Girl (All-American Girl, #1)",7295,7558,5517,6109,8211,2075,6121,8148,3452,6801
Neither Here nor There: Travels in Europe,2321,1460,1449,6746,6453,316,2250,8789,6157,1976
Boy Meets Boy,9489,6124,8423,6128,7421,3415,3919,7634,3721,6716
We Are Water,1028,8658,9930,4549,6320,5150,6925,5979,2527,8473
"Max (Maximum Ride, #5)",2381,2687,2974,1535,1351,569,4659,3864,7393,434
"Halo (Halo, #1)",9500,4573,5106,8530,4393,5148,9106,5223,6004,1780
The Inheritance of Loss,657,9991,5448,6030,8175,3869,8015,5054,820,8973
"A Darkness At Sethanon (The Riftwar Saga, #4)",1812,2269,6601,9074,2453,6536,4993,5599,1593,5357
The Sorrows of Young Werther,7309,529,3085,2097,8503,97,4348,4622,8899,71
"At Grave's End (Night Huntress, #3)",1818,2275,3496,1257,4857,4816,3514,8909,3527,5710
Don't Let's Go to the Dogs Tonight,1068,1978,3561,2252,6785,7239,4691,5349,737,7227
Beauty: A Retelling of the Story of Beauty and the Beast,4069,8910,9270,6756,3132,4311,7934,1175,8173,7116
Eating Animals,9097,6518,2441,9842,4843,7693,5794,7049,7942,6112
"Flyte (Septimus Heap, #2)",2619,3044,1323,5352,4782,9331,1554,3910,7539,1298
ساق البامبو,5990,8209,5002,1647,7823,3093,7114,8441,4980,7790
"The Girl of Fire and Thorns (Fire and Thorns, #1)",5875,4193,5156,8695,2764,2587,3677,6515,1000,8507
"Enclave (Razorland, #1)",4705,6722,6301,166,2799,6747,9567,6671,6773,7452
Longitude: The True Story of a Lone Genius Who Solved the Greatest Scientific Problem of His Time,9834,3782,5051,6435,7398,374,1378,9910,3789,6219
"Unnatural Exposure (Kay Scarpetta, #8)",2031,2351,4127,3108,3876,5007,2150,2745,1091,2074
Faust: First Part,9908,5853,8503,1015,8908,3590,4205,4622,1521,614
Lies My Teacher Told Me,9243,3071,9337,7738,8721,9222,408,2831,9359,6064
"Fool's Fate (Tawny Man, #3)",2382,1964,1246,1018,3298,598,3278,2669,4074,307
"Locke & Key, Vol. 1: Welcome to Lovecraft",5113,5674,6720,6642,8663,6419,6171,4064,1950,7666
"The Ask and the Answer (Chaos Walking, #2)",2563,1050,9725,3337,91,9844,327,7062,9287,6301
Scarlett,1610,7325,186,2476,2238,8834,7788,114,5740,2015
"Bloody Bones (Anita Blake, Vampire Hunter #5)",2341,2549,1553,2550,2224,2605,2911,1086,3510,3990
This Side of Paradise,264,3255,1184,395,9860,1161,1883,3929,4810,1393
Escape from Camp 14: One Man's Remarkable Odyssey from North Korea to Freedom in the West,3491,9847,2441,6287,4879,9064,5363,8310,737,4848
"Every Which Way But Dead (The Hollows, #3)",2887,2807,2930,3330,3673,1273,3814,3819,4889,5576
"Eligible: A Modern Retelling of Pride and Prejudice (The Austen Project, #4)",6948,226,4563,3993,262,3401,625,8356,9446,6209
Seven Days in the Art World,3939,524,6824,5682,5208,5344,2335,8362,8943,9842
The Children of Húrin,4410,4976,466,3541,7376,6653,8782,1129,4441,3078
The Total Money Makeover: A Proven Plan for Financial Fitness,8513,1684,2318,4262,3009,6963,9292,6398,4366,5495
Mr. Popper's Penguins,2750,7504,1222,2315,1916,1373,6959,2326,4419,9702
"Shadow Puppets (Ender's Shadow, #3)",1646,2564,760,838,1213,8448,9723,4138,6701,7490
"The Magician's Land (The Magicians, #3)",1682,584,4922,5956,8814,6926,2558,3441,2866,8563
Light in August,3388,3808,3321,483,1365,3755,4942,6045,4973,3764
The Trumpet of the Swan,2750,1222,158,59,1373,7504,2311,184,868,373
Tenth of December,7366,6827,4336,1187,7874,3126,3472,297,3324,8165
"Night Pleasures (Dark-Hunter, #1)",7112,6731,8050,6864,3454,8674,8569,4781,3382,2545
The Millionaire Next Door: The Surprising Secrets of Americas Wealthy,8513,3423,8934,6398,1684,8549,3695,5996,2310,8903
"Don't Judge a Girl by Her Cover (Gallagher Girls, #3)",2428,1652,3665,656,6051,4142,443,7745,1550,9564
"Chronicles, Vol. 1",9083,3986,8069,9716,6400,9439,8752,3761,775,4331
The Lost Continent: Travels in Small Town America,2279,1449,1460,1976,8789,316,6453,5155,8524,2250
Dreams of Joy (Shanghai Girls #2),825,4313,1943,4491,3311,2772,6047,7918,8311,7178
Tell Me Your Dreams,3569,5423,4353,2595,3640,6324,3029,2073,5525,3760
"By the Shores of Silver Lake  (Little House, #5)",1956,2556,2571,1489,3234,681,544,740,5827,133
"The Player of Games (Culture, #2)",3632,5666,6709,7638,6126,8294,9894,7113,3247,8904
The Cricket in Times Square,1825,2311,4525,7504,738,2990,2315,2976,9702,5114
The Five Dysfunctions of a Team: A Leadership Fable,5675,2560,3361,5228,5796,5483,5873,9375,4823,3129
Junky,9857,8212,1444,1582,8430,5294,178,788,5716,664
Getting to Yes: Negotiating an Agreement Without Giving In,3542,9375,3495,1705,260,1926,5471,7967,7577,4823
"Mile High (Up in the Air, #2)",2748,2276,3863,5546,6711,1893,3017,4604,2779,1981
November 9,1568,1562,1130,2040,1110,539,6289,8834,2795,6789
"Everything We Keep (Everything We Keep, #1)",2717,2243,3987,4123,7488,4625,9745,4300,8227,9030
"The Mighty Storm (The Storm, #1)",1773,6100,1036,4742,6001,965,4652,6525,4807,5821
The Song of Achilles,5645,5805,1671,3441,6374,4247,5405,884,4328,2037
The Girl with the Lower Back Tattoo,1044,4852,290,9651,352,3822,5663,3885,6748,106
The Bhagavad Gita,7727,1099,5325,2720,3172,8907,4850,8404,3480,7606
The New York Trilogy,8588,7462,5911,9232,9632,6475,2339,3321,8600,8975
Esperanza Rising,3439,1369,7806,4094,93,540,241,2495,9849,5020
"Raise High the Roof Beam, Carpenters & Seymour: An Introduction",483,709,6892,8440,664,3472,7008,2172,5840,2869
Sex and the City,1430,3567,4009,647,1103,622,5427,78,3011,1713
"The Killing Dance (Anita Blake, Vampire Hunter, #6)",2303,2549,1553,2550,2224,2605,2911,3510,1086,3990
Beyond Good and Evil,7622,6316,3342,8011,9667,5283,8611,3717,7392,4939
The Watsons Go to Birmingham - 1963,7806,4256,1038,4525,3439,9753,5500,853,3565,4476
Factotum,1318,5865,8805,6320,4526,4421,1444,5460,1960,1161
"The Immortal Rules (Blood of Eden, #1)",5511,6136,4470,7957,8164,8151,7062,5981,5156,6861
Columbine,5518,975,2592,5225,6693,8323,8936,9094,5090,6564
"Lasher (Lives of the Mayfair Witches, #2)",2604,1217,898,4579,3340,3128,1993,696,3477,5290
Yellow Crocus,6793,4787,3334,8311,6810,6577,9562,4570,3962,6883
No Easy Day: The Firsthand Account of the Mission That Killed Osama Bin Laden,6564,6893,8182,4162,7902,1408,8051,6905,7046,7770
The Chaperone,313,318,2872,7096,4988,7178,3747,2772,267,235
"All That Remains (Kay Scarpetta, #3)",2150,2031,3108,511,2074,2296,2745,1091,3876,4127
The Regulators,915,944,5763,609,818,1423,1589,1900,2513,1139
Season of Mists (The Sandman #4),1895,3086,3082,2937,3396,1572,3660,3395,766,5923
Judge & Jury,1746,1260,4813,3713,3163,3098,3162,2184,2981,1763
Silas Marner,109,1073,961,160,1771,2026,2600,204,1064,650
"Origin (Lux, #4)",1556,1169,750,6489,8500,4929,2599,8436,4002,3852
The Botany of Desire: A Plant's-Eye View of the World,550,6996,3207,4115,6112,7552,7187,5068,1060,5784
"Beautiful Redemption (Caster Chronicles, #4)",1425,1147,9920,182,8958,9926,4306,6136,5857,2956
The Distant Hours,613,1012,3018,8586,7508,7156,4898,8324,9328,8582
I Let You Go,2617,2396,6699,1786,4176,7467,5726,3461,6646,6479
"Kidnapped (David Balfour, #1)",1178,293,1207,116,1327,778,1907,1695,3580,413
"Friday Night Lights: A Town, a Team, and a Dream",8232,1154,1349,5992,3476,6984,7746,3222,4907,6543
Beautiful Boy: A Father's Journey Through His Son's Addiction,3726,2379,3561,1102,4274,4527,7131,7615,3994,737
"The Vincent Boys (The Vincent Boys, #1)",2665,3589,812,1295,3004,3666,3040,8364,6700,1994
The Cask of Amontillado,6385,3037,1784,402,1717,512,2468,7037,5389,9114
Metamorphoses,1280,2142,341,79,5940,977,2076,4149,1167,2052
In the Time of the Butterflies,669,4,3143,87,1310,1158,93,2190,6732,734
Gap Creek,2087,1317,4265,5157,1762,5737,1675,3787,3468,2603
"Half-Blood (Covenant, #1)",3185,3852,4817,7160,6462,8500,9165,4929,2356,5457
The Legend of Sleepy Hollow (Graphic Novel),1354,97,390,1204,71,4592,95,3799,651,1327
"Bitter Is the New Black: Confessions of a Condescending, Egomaniacal, Self-Centered Smartass, Or, Why You Should Never Carry A Prada Bag to the Unemployment Office",3835,9273,4302,3905,737,9103,5394,7131,8053,1515
The Witness,4259,3097,2858,4402,3168,5174,3873,4615,907,4957
"Blindsighted (Grant County, #1)",5359,5548,6151,4380,4794,5771,5408,4546,3619,5117
Angle of Repose,4996,7370,5908,7907,4865,9689,7783,8309,6954,5358
"Tinker, Tailor, Soldier, Spy",4286,9233,2517,5756,8849,8786,8245,4560,8864,6025
"Lord Brocktree (Redwall, #13)",4460,3562,1809,4578,5536,7479,7383,8787,6873,9371
"Through the Ever Night (Under the Never Sky, #2)",1413,4226,5308,2799,6805,525,2884,6722,1002,327
Barefoot,5790,4362,3204,4600,3766,5534,8765,5916,4547,4631
My Friend Leonard,2363,3726,383,1102,199,9619,6599,8762,2416,4381
Cat on a Hot Tin Roof,1580,456,1584,1454,8760,7838,7333,6119,3916,427
"The Final Warning (Maximum Ride, #4)",2282,2687,1535,2974,1351,569,4659,3864,415,8749
"Golden Fool (Tawny Man, #2)",1964,1018,3298,2299,2669,3278,1246,598,5414,4074
"Split Second (Sean King & Michelle Maxwell, #1)",4294,4512,3357,7463,4463,1150,4040,3537,2539,3945
"The Fifth Witness (Mickey Haller, #5; Harry Bosch Universe, #20)",2596,3507,2639,521,4437,4673,7099,2893,4617,7017
"The Dragonbone Chair (Memory, Sorrow, and Thorn, #1)",5554,3291,4182,5414,8035,3298,9424,7788,7282,8893
"Persepolis, Volume 1",8737,2451,1265,828,8880,8612,8117,7377,9378,3248
"At Home in Mitford (Mitford Years, #1)",7692,6342,8776,9453,6795,4919,9301,3128,6619,8854
"Delivering Happiness: A Path to Profits, Passion, and Purpose",3235,7964,3882,3733,5713,4366,8925,7693,1621,7628
"Scorpia (Alex Rider, #5)",2861,3664,3089,3276,3369,1616,4675,4667,6794,6859
"The Queen of the Tearling (The Queen of the Tearling, #1)",4246,2587,7773,1000,1837,1743,858,2254,8827,4386
"One False Note (The 39 Clues, #2)",2477,3060,2531,2427,2756,2909,2891,3624,2019,5633
"Tithe (Modern Faerie Tales, #1)",4580,5755,4076,4562,5345,3271,9056,4791,4223,4687
"Echo Burning (Jack Reacher, #5)",2429,1424,2135,3144,1600,2245,1358,2522,1617,477
"The Fury / Dark Reunion (The Vampire Diaries, #3-4)",1803,6658,3083,5322,3486,2705,7797,5759,1387,2182
"Never Never (Never Never, #1)",3778,1562,1453,830,1130,1568,6900,3015,2726,539
Into the Darkest Corner,2617,2360,4900,2273,9659,6699,8685,3466,6646,2216
The Further Adventures of Sherlock Holmes: After Sir Arthur Conan Doyle (Classic Crime),3292,446,8979,5509,1631,4719,1240,6187,618,9389
"Roses are Red (Alex Cross, #6)",2012,2214,2547,2277,2184,2737,3223,3066,266,2981
"Naked Empire (Sword of Truth, #8)",2219,1989,2458,2645,2461,1759,1638,1536,4530,6691
"Map of Bones (Sigma Force, #2)",4379,3668,5004,8397,5750,7722,4771,4263,4860,7741
The Stranger,872,2024,614,1624,1015,1364,4106,3020,4584,213
"Unbelievable (Pretty Little Liars, #4)",2152,2919,3365,2685,1824,548,4436,8797,2929,7192
A Passage to India,6553,1435,5437,7135,160,6727,1161,6999,4983,961
"Seraphina (Seraphina, #1)",5981,7598,7148,9470,2764,4644,7502,8705,933,2814
"Morrigan's Cross (Circle Trilogy, #1)",5728,5889,2091,2432,4680,1966,4619,7704,5158,5600
"The Mammoth Hunters (Earth's Children, #3)",2965,2047,496,3407,7288,3802,1723,6372,1901,5561
"Princeps' Fury (Codex Alera, #5)",2448,2493,2518,2631,1479,8424,1602,1654,1630,1340
"Love Story (Love Story, #1)",269,2671,2065,8976,112,4471,1913,2610,2378,9185
Chrysanthemum,4847,1875,7417,9757,1229,7853,7891,971,454,1939
"Sweet Evil (Sweet, #1)",6834,3749,1276,7674,6004,1122,434,202,2217,583
"The Winds of War (The Henry Family, #1)",3772,7644,4062,6521,2942,734,4774,5052,1581,1597
"The Wind Through the Keyhole (The Dark Tower, #4.5)",1347,7015,725,806,8359,936,953,612,4543,5782
"The Last Kingdom (The Saxon Stories, #1)",4310,4017,5433,5093,5214,9254,6681,9727,8393,3941
The E-Myth Revisited: Why Most Small Businesses Don't Work and What to Do About It,4366,4059,2686,5675,2327,7547,5786,4748,4397,7873
"Bunnicula (Bunnicula, #1)",999,1497,1373,1193,1222,1916,2597,868,9661,2215
"Exile (Forgotten Realms: The Dark Elf Trilogy, #2; Legend of Drizzt, #2)",2654,2808,1880,3393,3500,4914,5168,4257,3989,6581
"Ascend (Trylle, #3)",2130,1560,4306,3793,9165,5579,8808,5224,9062,536
"The Keeper of Lost Causes (Department Q, #1)",6872,3866,9444,5461,4247,7527,4212,8997,1882,5302
Of Love and Other Demons,1853,1239,7277,8782,5198,3903,5551,8821,9606,8295
The Demigod Files (Percy Jackson and the Olympians),159,4449,175,214,163,151,9740,3220,294,41
Musicophilia: Tales of Music and the Brain,881,7910,7923,2231,5772,6882,6220,7279,4370,8940
"End of Watch (Bill Hodges Trilogy, #3)",1490,3756,1182,794,295,939,623,1347,3461,2113
Fool,5412,2691,1153,4216,2034,743,3036,4979,4031,2676
The Book of Lost Things,877,192,8154,307,377,2125,7788,3551,8460,518
My Life,6884,3896,8836,4971,3225,9997,690,3488,9004,9291
300,6846,5312,6461,8214,2504,3942,4012,5464,6196,3544
"Storm Warning (The 39 Clues, #9)",2891,2756,3060,2531,2909,5633,2477,4207,3624,6562
"Only the Good Spy Young (Gallagher Girls, #4)",2319,3665,6051,1652,656,4142,7745,6859,5939,9564
"Persuader (Jack Reacher, #7)",2393,2135,3144,2245,1358,1424,2522,1600,1617,477
"Grave Sight (Harper Connelly, #1)",5044,5499,6534,6488,7267,3759,3611,7596,5221,527
"Flaggermusmannen (Harry Hole, #1)",3647,2602,1744,3380,5082,4247,5289,4212,1882,5043
"Blood Brothers (Sign of Seven, #1)",2159,5522,5889,7704,5411,1930,5431,4619,4084,5728
Picture Perfect,2633,2991,1426,908,1149,1685,2883,1842,331,1101
"Rurouni Kenshin, Vol. 1: Meiji Swordsman Romantic Story (Rurouni Kenshin, #1)",6576,3110,3977,8202,5339,6027,4930,6622,3629,8567
Catching Jordan,1080,4314,7451,9573,4165,830,7658,6209,5153,2726
Touching the Void: The True Story of One Man's Miraculous Survival,6251,9100,7623,7302,6654,7630,8886,5514,1734,236
"This Girl (Slammed, #3)",962,644,2040,5503,589,3015,1110,5250,6044,9256
There Was an Old Lady Who Swallowed a Fly,296,905,454,4010,627,549,4886,3596,5265,2512
Way of the Peaceful Warrior: A Book That Changes Lives,1855,7291,4157,9826,7839,9236,3399,8296,9790,2660
The Satanic Verses,1055,2698,8175,6636,121,4828,5116,8440,2128,1005
Nothing to Envy: Ordinary Lives in North Korea,9847,8933,2305,3491,5794,4824,7228,9997,9064,8362
Winning,8454,2220,4411,5228,5675,4536,2318,1157,5796,4823
"Collide (Collide, #1)",6525,2333,9467,3554,3633,3855,8834,4450,7051,4373
How We Decide,8544,5761,5255,4417,2465,1371,4356,4147,4370,6060
"The Beekeeper's Apprentice (Mary Russell, #1)",8412,4719,7664,9952,6627,982,6187,4413,2857,8768
The Story of Babar,2181,876,1823,1545,7696,2260,9194,5003,7717,8428
"The Warlock (The Secrets of the Immortal Nicholas Flamel, #5)",2120,3420,1634,2017,923,4599,6847,3677,3281,7613
"First Lord's Fury (Codex Alera, #6)",2407,2493,2631,2518,1479,8424,1602,1654,1630,7470
The Imperfectionists,6454,638,3141,1136,1310,6434,709,2339,6870,3133
The Sea of Tranquility,1568,1720,6789,112,475,6900,6051,5513,2629,9942
"Persepolis 2: The Story of a Return (Persepolis, #2)",828,1265,490,8367,2386,8737,3932,9017,1422,365
"Pyramids (Discworld, #7)",2109,1089,2658,3362,1924,1343,1368,3359,2501,1768
"Silverthorn (The Riftwar Saga, #3)",2285,9434,5957,1812,2269,9963,6135,4993,6536,6601
Before I Die,8942,3655,6986,9882,7890,149,3293,7058,5552,7381
Committed: A Skeptic Makes Peace with Marriage,8901,6829,4037,6921,9273,3315,470,9651,6285,8051
Keeping the Moon,831,2870,541,1215,443,615,1667,1789,667,6466
"The Transfer (Divergent, #0.1)",5393,8041,1197,7672,12,69,1045,3285,2880,7013
"Chainfire (Sword of Truth, #9)",2645,1989,2399,2219,1759,2461,1638,1536,4530,1071
Mastering the Art of French Cooking,7860,7894,8571,2020,7518,6988,2744,5841,7385,8286
"Blue Exorcist, Vol. 1  (Blue Exorcist, #1)",9983,1352,5847,6622,5339,5074,7799,6217,7076,7688
"Confessor (Sword of Truth, #11)",1759,2458,2399,2645,1989,2219,1638,1536,4530,6691
The Reluctant Fundamentalist,378,3659,8479,1310,6625,5448,5628,6030,6467,1375
The False Prince (The Ascendance Trilogy #1),5328,8587,4599,8521,6847,3563,3677,9053,5732,5516
"Rabbit, Run (Rabbit Angstrom #1)",2559,1312,3321,3755,121,3643,1883,3763,7563,4640
Stumbling on Happiness,4356,6384,7998,2946,5761,5831,1371,2444,6060,4699
The Waste Land and Other Poems,2921,7832,3535,5716,4301,6648,6736,9620,3907,8899
Little Bear,9796,2992,1548,6006,8746,8055,1469,8578,579,549
The Pit and the Pendulum,5389,2365,6385,512,1717,7037,3037,1784,9114,402
"Lords and Ladies (Discworld, #14; Witches #4)",3359,2489,1924,1768,3200,2501,5099,3547,3362,894
"Thud! (Discworld, #34; City Watch #7)",2271,2677,1337,2944,2881,3000,5099,2718,2043,1368
"His Majesty's Dragon (Temeraire, #1)",6371,7568,5179,8931,9925,3974,3414,7893,8988,4454
"The Field Guide (The Spiderwick Chronicles, #1)",4687,4791,5151,5490,7195,6235,5890,4534,4275,6956
Radical: Taking Back Your Faith from the American Dream,3448,797,9518,4151,9219,9262,3931,6545,6782,5571
The 48 Laws of Power,7985,7337,9014,1420,5483,9375,5210,3867,5873,956
"My Side of the Mountain (Mountain, #1)",6755,5455,4525,1493,1373,77,2326,999,59,2976
"The Winter Sea (Slains, #1)",6451,9508,9309,7102,8066,1699,9835,8311,7775,4118
"The Sword Thief (The 39 Clues, #3)",2531,3060,2891,2391,2756,2909,2427,2200,3624,5633
Coma,1864,8790,6113,9217,6987,2539,7707,9082,6790,8126
Requiem for a Dream,3131,1717,6187,4286,7711,788,3505,769,3794,3504
"Into the Wild (Warriors, #1)",4550,4773,4593,4952,6197,5963,6346,3983,8251,8354
Bury My Heart at Wounded Knee: An Indian History of the American West,2917,2651,8416,687,5138,2175,1333,2298,2174,3307
"The Pianist: The Extraordinary Story of One Man's Survival in Warsaw, 1939–45",762,4043,7297,6547,7629,7949,1815,5701,6785,8028
"Rush (Breathless, #1)",3549,218,334,3863,676,4604,5546,7051,3405,1893
The Picture of Dorian Gray: A Graphic Novel,3917,6817,877,95,8384,6063,3711,5429,9544,4291
Swan Song,3469,4361,4383,168,3178,4783,7394,9959,7469,9599
The Buried Giant,3489,5947,4925,3697,974,4543,1187,9606,7891,4075
"Perdido Street Station (Bas-Lag, #1)",5047,5072,9424,8517,5747,1676,5341,1868,3771,8643
"Need (Need, #1)",3617,4559,8391,2201,3271,4587,9056,5224,4393,4204
"Witches Abroad (Discworld, #12; Witches #3)",2469,3359,1768,1924,3200,894,1089,1722,2452,3547
